epoch,train_loss,val_loss,train_acc,val_acc
1,2.2992056608200073,2.272608160972595,0.19,0.18
2,2.280180498957634,2.2515398263931274,0.326,0.302
3,2.248238518834114,2.214897871017456,0.401,0.3655
4,2.209472045302391,2.157588005065918,0.504,0.463
5,2.143122121691704,2.055918335914612,0.555,0.5185
6,2.044188544154167,1.9008422493934631,0.604,0.559
7,1.9116534069180489,1.699464738368988,0.65,0.602
8,1.7724226489663124,1.481630027294159,0.709,0.666
9,1.585362821817398,1.2522125244140625,0.758,0.7045
10,1.44548911601305,1.0548699498176575,0.77,0.737
11,1.3162557557225227,0.8827188014984131,0.8554455445544554,0.8255
12,1.186545740813017,0.773270457983017,0.808910891089109,0.788
13,1.0424132607877254,0.646276205778122,0.8722772277227723,0.8345
14,1.0158343128859997,0.6088690459728241,0.8742574257425743,0.8505
15,0.9117311164736748,0.5447060763835907,0.8811881188118812,0.8585
16,0.8313942328095436,0.5069835931062698,0.8920792079207921,0.8575
17,0.8343019261956215,0.48697249591350555,0.8920792079207921,0.8635
18,0.816835705190897,0.4531998187303543,0.906930693069307,0.8745
19,0.7320833429694176,0.43344084918498993,0.902970297029703,0.867
20,0.7066975086927414,0.4156709611415863,0.906930693069307,0.8715
