epoch,train_loss,val_loss,train_acc,val_acc
1,2.2992056608200073,2.272608160972595,0.19,0.18
2,2.280180498957634,2.2515398263931274,0.326,0.302
3,2.248238518834114,2.214897871017456,0.401,0.3655
4,2.209472045302391,2.157588005065918,0.504,0.463
5,2.143122121691704,2.055918335914612,0.555,0.5185
6,2.044188544154167,1.9008422493934631,0.604,0.559
7,1.9116534069180489,1.699464738368988,0.65,0.602
8,1.7724226489663124,1.481630027294159,0.709,0.666
9,1.585362821817398,1.2522125244140625,0.758,0.7045
10,1.44548911601305,1.0548699498176575,0.77,0.737
